ID;magazineTitle;publishDate
138;Computerworld;2000-08-14
139;InfoWorld;2004-08-09
140;InfoWorld;2003-12-08
141;Billboard;1998-11-28
142;Billboard;1995-09-16
143;InfoWorld;1988-02-01
144;InfoWorld;1988-01-11
145;InfoWorld;1988-02-22
146;Billboard;1957-05-20
147;InfoWorld;1981-02-16
148;Popular Mechanics;1995-08
149;Popular Science;1990-09
150;Popular Mechanics;1990-03
151;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2001-06
152;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2006-06
153;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2004-09
154;Proceedings of the Estonian Academy of Sciences, Physics and Mathematics;2000-03
155;Black Enterprise;1978-07
156;Computerworld;1974-09-11
157;Proceedings of the Estonian Academy of Sciences, Engineering;2005-12
158;Black Enterprise;1978-11
159;New Scientist;1961-09-21
160;Billboard;1984-07-21
161;AUUGN;1997-08
162;Black Enterprise;1991-08
163;Black Enterprise;1996-02
164;The Crisis;1985-08
165;New York Magazine;1982-04-12
166;Atlanta Magazine;2006-06
167;Billboard;1994-05-14
168;Ebony;2007-10
169;Jet;1985-12-09
170;New York Magazine;1997-02-24
171;Computerworld;1980-08-11
172;Popular Mechanics;1982-10
173;Atlanta Magazine;2005-01
174;Popular Mechanics;1995-08
175;Atlanta Magazine;2005-10
176;Jet;1996-08-19
177;Vibe;2004-07
178;Ebony;2008-11
179;Computerworld;1980-09-01
180;Mother Jones Magazine;1989-02
181;Computerworld;1993-07-19
182;Computerworld;1996-08-19
183;Mother Jones Magazine;1991-03
184;Popular Mechanics;1993-03
185;LIFE;1965-10-01
186;InfoWorld;1991-03-11
187;InfoWorld;1988-12-19
188;InfoWorld;1991-02-18
189;InfoWorld;1989-06-05
190;InfoWorld;1994-11-14
191;Computerworld;1991-09-02
192;Computerworld;2007-03-19
193;InfoWorld;1990-05-07
194;InfoWorld;1998-03-09
195;InfoWorld;2004-08-09
196;CIO;2007-11-15
197;CIO;2006-03-15
198;New Scientist;1981-09-03
199;New Scientist;1985-12-12
200;Computerworld;2007-07-09
201;Computerworld;2006-10-16
202;Popular Mechanics;2004-06
203;Jet;1998-01-26
204;Black Enterprise;1998-10
205;Network World;2001-12-17
206;Computerworld;1979-02-12
207;Computerworld;1983-05-09
208;New Scientist;1981-09-03
209;Network World;1992-01-20
210;Billboard;1994-04-09
211;Billboard;1992-11-14
212;InfoWorld;1988-01-18
213;Billboard;1987-12-26
214;Billboard;1981-08-08
215;Billboard;1978-01-21
216;Billboard;1968-03-23
217;Proceedings of the Estonian Academy of Sciences, Geology;2002-12
218;Network World;2003-12-22
219;Billboard;1965-10-30
220;Network World;1997-03-03
221;Billboard;1972-07-29
222;Network World;2003-09-08
223;Billboard;2000-01-22
224;Billboard;1999-12-25
225;Billboard;1966-04-02
226;Ski;1974-09
227;ABA Journal;1996-10
228;Network World;1989-02-13
229;Billboard;1967-05-27
230;Network World;1991-09-09
231;Billboard;1967-11-25
232;Billboard;1999-05-08
233;Computerworld;1990-06-04
234;Computerworld;1975-09-10
235;Billboard;1999-04-17
236;Billboard;1997-12-20
237;Network World;1995-05-29
238;Billboard;1999-08-21
239;InfoWorld;2007-03-26
240;Computerworld;1976-11-29
241;Computerworld;1980-05-05
242;Billboard;1967-01-07
243;Computerworld;1974-09-11
244;AUUGN;1997-09
245;AUUGN;1996
246;Computerworld;1996-09-09
247;CSO;2007-11
248;AUUGN;2004-09
249;Bulletin of the Atomic Scientists;1998-01
250;Popular Mechanics;2002-12
251;Cincinnati Magazine;2004-05
252;Popular Mechanics;1934-08
253;LIFE;1954-08-09
254;LIFE;1945-11-26
255;Computerworld;2004-08-30
